Investor,,Investments,,,
,Summary,Announced Date,Organization Name,Funding Round,Money Raised 
A.M. Management & Consulting,"AMMC is a private equity, active investment, and consulting firm.","May4,2022",Twitter,Post-IPO Equity Twitter,$25M
A.M. Management & Consulting,"AMMC is a private equity, active investment, and consulting firm.","Nov24,2020",ATAI Life Sciences,Series C-ATAl Life Sciences,$93M
A.M. Management & Consulting,"AMMC is a private equity, active investment, and consulting firm.","0ct9,2020",BlueNalu,Convertible Note BlueNalu,
A.M. Management & Consulting,"AMMC is a private equity, active investment, and consulting firm.","Jul22,2020",Songclip (Audiobyte),Convertible Note Songclip (Audiobyte),
A.M. Management & Consulting,"AMMC is a private equity, active investment, and consulting firm.","Apr1,2020",vast,Convertible Note-vast,
A.M. Management & Consulting,"AMMC is a private equity, active investment, and consulting firm.","Jun14,2019",ONEHOPE,Convertible Note ONEHOPE,$6M
A.M. Management & Consulting,"AMMC is a private equity, active investment, and consulting firm.","0ct23,2018",Vicarious,Venture Round Vicarious,
A.M. Management & Consulting,"AMMC is a private equity, active investment, and consulting firm.","Jul19,2018",Health House,Venture Round Health House,$1.2M
"AH Capital Management, L.L.C",Andreessen Horowitz is a stage-agnostic venture capital firm with assets under management across multiple funds,"May16,2022",NoHo Partners,Post-IPO Equity NoHo Partners,
"AH Capital Management, L.L.C",Andreessen Horowitz is a stage-agnostic venture capital firm with assets under management across multiple funds,"May16,2022",NoHo Partners,Post-IPO Equity NoHo Partners,
Aliya Capital Partners LLC,Aliya Capital Partners is an Investment Management company,"Aug8,2022",Betr,Series A-Betr,$20M
Aliya Capital Partners LLC,Aliya Capital Partners is an Investment Management company,"May4,2022",Twitter,Post-IPO Equity Twitter,$7.2B
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Sep7,2022",GoodNews Coffee,Series A-GoodNews Coffee,€11M
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","May4,2022",Twitter,Post-IPO Equity-Twitter,$7.2B
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Jan24,2022",Swiggy,Venture Round-Swiggy,$700M
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Dec1,2021",Innovid,Post-IPO Equity-Innovid,$200M
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Nov18,2021",Farmers Business Network,Series G-Farmers Business Network,$300M
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Nov8,2021",Nextdoor,Post-IPO Equity-Nextdoor,$270M
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Sep30,2021",velo3D,Post-IPO Equity-Velo3D,$155M
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Sep17,2021",Archer,Post-IPO Equity-Archer,S857M
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Aug23,2021",SmartRent,Post-IPO Equity-SmartRent,$155M
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Jul15,2021",Markforged,Post-IPO Equity-Markforged,$210M
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Jul2,2021",Sharecare,Post-IPO Equity-Sharecare,S425M
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Jun30,2021",Taboola,Post-IPO Equity-Taboola,$285M
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Jun9,2021",Northvolt,Venture Round-Northvolt,$2.8B
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Jun8,2021",Janus International Group,Post-IPO Equity-Janus International Group,S250M
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","May17,2021",Pine Labs,Venture Round-Pine Labs,$285M
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Mar29,2021",BBYJU'S,Series F-BYJU'S,S460M
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Jan7,2021",Resident,Series B-Resident,$130M
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Nov2,2020",Access TeleCare,Post-IPO Equity-Access TeleCare,$165M
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Sep29,2020",Northvolt,Series B-Northvolt,S600M
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Sep8,2020",Zymergen,Series D-Zymergen,$300M
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Aug26,2020",Desktop Metal,Post-IPO Equity-Desktop Metal,S275M
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Aug3,2020",Farmers Business Network,Series F-Farmers Business Network,S250M
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Ju29,2020",Access TeleCare,Private Equity Round-Access TeleCare,S165M
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Jul10,2020",Rivian,Private Equity Round-Rivian,$2.5B
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Sep29,2022",MX Global,Venture Round-MX Global,$1.6M
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"May4,2022",Twitter,Post-IPO Equity-Twitter,$7.2B
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Apr14,2022",Skynet EGLD Capital,Venture Round-Skynet EGLD Capital,$40M
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Apr6,2022",Sky Mavis,Series C-Sky Mavis,S150M
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Mar16,2022",Treehouse Finance,Seed Round-Treehouse Finance,$18M
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Mar1,2022",MX Global,Initial Coin Offering-MX Global,
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Feb10,2022",Forbes//rodel banez capinig,Corporate Round-Forbes//rodel banez capinig,S200M
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Apr1,2021",Mask Network,Venture Round-Mask Network,
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Mar9,2021",OpenOcean,Seed Round-OpenOcean,$2M
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Mar1,2021",CERE Network,Series A-CERE Network,
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Feb9,2021",Stake Technologies,Venture Round-Stake Technologies,_250M
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Dec31,2020",Biconomy,Seed Round-Biconomy,$1.5M
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"May12,2020",TokoCrypto,Corporate Round-TokoCrypto,
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Apr23,2020",Bundle Africa,Pre Seed Round-Bundle Africa,$450K
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Jan23,2020",Numbers Protocol,Venture Round-Numbers Protocol,
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Jan14,2020",BxB,Seed Round-BxB,w500M
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Dec23,2019",Eurexcoin.com,Series A-Eurexcoin.com,$10B
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Dec20,2019",FTX,Corporate Round-FTX,
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"0ct2,2019",Founders Bank,Venture Round-Founders Bank,$10M
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Sep17,2019",Band Protocol,Seed Round-Band Protocol,$5.9M
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Sep12,2019",Mars Finance,Series B-Mars Finance,
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Mar1,2019",Tellor,Seed Round-Tellor,$250K
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Mar1,2019",capitalise.ai,Funding Round-capitalise.ai,S10M
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"0ct5,2018",Injective,Pre Seed Round-Injective,$500K
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"0ct3,2018",TravelbyBit,Grant-TravelbyBit,A$3.5M
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Aug31,2018",Buxx,Initial Coin Offering-Buxx,$20M
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Jan1,2018",MT5Wave,Funding Round-MT5Wave,$2.8B
Binance,Binance is a blockchain ecosystem and digital asset exchange platform that combines digital technology and finance.,"Jan2,2007",MT5Wave,Funding Round-MT5Wave,$958.5M
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","0ct17,2022",Panthera Finance,Debt Financing-Panthera Finance,$150M
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","0ct6,2022",Primary Wave,Private Equity Round-Primary Wave,$1.7B
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","May19,2022",CrescoNet,Venture Round-CrescoNet,
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","May11,2022",NeWork,Post-IPO Debt-WeWork,$350M
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","May4,2022",Twitter,Post-IPO Equity-Twitter,$7.2B
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","May2,2022",AGL Energy,Post-IPO Equity-AGL Energy,AS654M
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Mar28,2022",Superior Plus,Post-IPO Equity-Superior Plus,S288M
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Mar17,2022",Jindal Poly Films,Post-IPO Equity-Jindal Poly Films,20B
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Feb2,2022",Hopper,Secondary Market-Hopper,35M
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Jan20,2022",Amp Solar Group,Debt Financing-Amp Solar Group,$350M
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Nov22,2021",Experimental Group,Private Equity Round-Experimental Group,E380M
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Jul6,2021",Creating Culinary Communities,Series B-Creating Culinary,$80M
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Jun10,2021",Immersive Gamebox,Series A-Immersive Gamebox,$11M
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","May20,2021",Workrise,Series E-Workrise,S300M
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Nov10,2020",Carbon Health,Series C-Carbon Health,$100M
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","0ct18,2020",American Equity Investment Life Holding Company,Post-IPO Equity-American Equity Investment Life Holding Company,
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Jun23,2020",Abu Dhabi National Oil Company,Funding Round-Abu Dhabi National Oil Company,$10B
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Jun8,2020",Superior Plus,Post-IPO Equity-Superior Plus,$260M
Brookfield,"Brookfield Asset Management is a Canadian asset management firm focused on property, renewable energy, infrastructure, and private equity.","Jun5,2020",Polaris Infrastructure,Post-IPO Debt-Polaris Infrastructure,$27M
