Name,Summary,Announced Date,Organization Name,Funding Round
A.M. Management & Consulting,"AMMC is a private equity, active investment, and consulting firm.","May4,2022",Twitter,Post-IPO Equity Twitter
A.M. Management & Consulting,"AMMC is a private equity, active investment, and consulting firm.","Nov24,2020",ATAI Life Sciences,Series C-ATAl Life Sciences
A.M. Management & Consulting,"AMMC is a private equity, active investment, and consulting firm.","0ct9,2020",BlueNalu,Convertible Note BlueNalu
A.M. Management & Consulting,"AMMC is a private equity, active investment, and consulting firm.","Jul22,2020",Songclip (Audiobyte),Convertible Note Songclip (Audiobyte)
A.M. Management & Consulting,"AMMC is a private equity, active investment, and consulting firm.","Apr1,2020",vast,Convertible Note-vast
A.M. Management & Consulting,"AMMC is a private equity, active investment, and consulting firm.","Jun14,2019",ONEHOPE,Convertible Note ONEHOPE
A.M. Management & Consulting,"AMMC is a private equity, active investment, and consulting firm.","0ct23,2018",Vicarious,Venture Round Vicarious
A.M. Management & Consulting,"AMMC is a private equity, active investment, and consulting firm.","Jul19,2018",Health House,Venture Round Health House
"AH Capital Management, L.L.C",Andreessen Horowitz is a stage-agnostic venture capital firm with assets under management across multiple funds,"May16,2022",NoHo Partners,Post-IPO Equity NoHo Partners
"AH Capital Management, L.L.C",Andreessen Horowitz is a stage-agnostic venture capital firm with assets under management across multiple funds,"May16,2022",NoHo Partners,Post-IPO Equity NoHo Partners
Aliya Capital Partners LLC,Aliya Capital Partners is an Investment Management company,"Aug8,2022",Betr,Series A-Betr
Aliya Capital Partners LLC,Aliya Capital Partners is an Investment Management company,"May4,2022",Twitter,Post-IPO Equity Twitter
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Sep7,2022",GoodNews Coffee,Series A-GoodNews Coffee
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","May4,2022",Twitter,Post-IPO Equity-Twitter
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Jan24,2022",Swiggy,Venture Round-Swiggy
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Dec1,2021",Innovid,Post-IPO Equity-Innovid
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Nov18,2021",Farmers Business Network,Series G-Farmers Business Network
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Nov8,2021",Nextdoor,Post-IPO Equity-Nextdoor
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Sep30,2021",velo3D,Post-IPO Equity-Velo3D
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Sep17,2021",Archer,Post-IPO Equity-Archer
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Aug23,2021",SmartRent,Post-IPO Equity-SmartRent
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Jul15,2021",Markforged,Post-IPO Equity-Markforged
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Jul2,2021",Sharecare,Post-IPO Equity-Sharecare
"BAMCO, Inc. (Baron)","Baron Capital Group is a research-driven, long-term equity investment firm focused on delivering growth equity investment solutions","Jun30,2021",Taboola,Post-IPO Equity-Taboola
