security_type,issuerName,securityTitle,transactionDate,transactionCode,transactionShares,transactionPricePerShare,transactionAcquiredDisposedCode,sharesOwnedFollowingTransaction,directOrIndirectOwnership,natureOfOwnership
nonDerivative,SOLARCITY CORP,Common Stock,2015-12-21,G,35000,0,D,21275943,I,By Trust
nonDerivative,"Tesla, Inc.",Common Stock,2022-04-26,S,1893,872.02,D,172606358,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2022-04-26,S,2,873.03,D,172606356,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2022-04-26,S,34259,875.19,D,172572097,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2022-04-26,S,201269,876.42,D,172370828,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2022-04-26,S,29006,877.49,D,172341822,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2022-04-26,S,73145,878.29,D,172268677,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2022-04-26,S,37000,879.65,D,172231677,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2022-04-26,S,83970,880.23,D,172147707,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2022-04-26,S,9910,881.41,D,172137797,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2022-04-26,S,17661,882.25,D,172120136,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2022-04-26,S,49286,883.84,D,172070850,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2022-04-26,S,80095,885.03,D,171990755,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2022-04-26,S,89645,885.92,D,171901110,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2022-04-26,S,208342,886.80,D,171692768,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2022-04-26,S,150138,887.84,D,171542630,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2022-04-26,S,136118,888.88,D,171406512,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2022-04-26,S,106258,889.97,D,171300254,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2022-04-26,S,105802,890.90,D,171194452,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2022-04-26,S,99221,891.88,D,171095231,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2022-04-26,S,76450,892.97,D,171018781,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2022-04-26,S,103930,893.97,D,170914851,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2022-04-26,S,66241,894.98,D,170848610,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2022-04-26,S,79331,895.88,D,170769279,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2022-04-26,S,58717,896.89,D,170710562,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2022-04-26,S,35296,898.16,D,170675266,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2022-04-26,S,57713,899.02,D,170617553,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2022-04-26,S,59995,900.01,D,170557558,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2022-04-26,S,34219,901.05,D,170523339,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2022-04-26,S,106840,902.01,D,170416499,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2022-04-26,S,66734,902.99,D,170349765,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2018-05-07,P,5903,295.028,A,33638324,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2018-05-07,P,4845,296.311,A,33643169,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2018-05-07,P,3508,297.151,A,33646677,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2018-05-07,P,4514,298.01,A,33651191,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2018-05-07,P,739,299.252,A,33651930,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2018-05-07,P,4358,300.012,A,33656288,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2018-05-07,P,3000,301.376,A,33659288,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2018-05-07,P,6133,302.133,A,33665421,I,by Trust
nonDerivative,SOLARCITY CORP,Common Stock,2015-08-04,J,44,0,A,20681572,I,By Trust
nonDerivative,"Tesla, Inc.",Common Stock,2018-11-09,A,56915,351.4,A,33824680,I,by Trust
nonDerivative,SOLARCITY CORP,Common Stock,2013-10-21,P,214869,46.54,A,21028830,I,By Trust
nonDerivative,TESLA MOTORS INC,Common Stock,2015-08-19,P,82645.0,242.0,A,28371342,I,by Trust
nonDerivative,SOLARCITY CORP,Common Stock,2015-08-24,P,123510,40.4855,A,20805082,I,By Trust
nonDerivative,TESLA MOTORS INC,Common Stock,2013-11-07,J,1256.0,0.0,A,28288622,I,by Trust
nonDerivative,SOLARCITY CORP,Common Stock,2012-12-18,C,10491720,"
                    <footnoteId id=""F1""/>
                ",A,10609976,I,By Trust
nonDerivative,SOLARCITY CORP,Common Stock,2012-12-18,C,2897342,"
                    <footnoteId id=""F1""/>
                ",A,13507318,I,By Trust
nonDerivative,SOLARCITY CORP,Common Stock,2012-12-18,C,478871,"
                    <footnoteId id=""F1""/>
                ",A,13986189,I,By Trust
nonDerivative,SOLARCITY CORP,Common Stock,2012-12-18,C,2279826,"
                    <footnoteId id=""F1""/>
                ",A,16266015,I,By Trust
nonDerivative,SOLARCITY CORP,Common Stock,2012-12-18,C,1033592,"
                    <footnoteId id=""F1""/>
                ",A,17299607,I,By Trust
nonDerivative,SOLARCITY CORP,Common Stock,2012-12-18,C,1550384,"
                    <footnoteId id=""F2""/>
                ",A,18849991,I,By Trust
nonDerivative,SOLARCITY CORP,Common Stock,2012-12-18,P,1875000,8.00,A,20724991,I,By Trust
nonDerivative,SOLARCITY CORP,Common Stock,2016-01-04,J,51,0,A,21275994,I,By Trust
nonDerivative,"Tesla, Inc.",Common Stock,2021-11-09,S,8212,1116.417,D,168336889,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2021-11-09,S,2298,1117.552,D,168334591,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2021-11-09,S,6437,1120.641,D,168328154,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2021-11-09,S,1500,1121.959,D,168326654,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2021-11-09,S,35519,1123.00,D,168291135,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2021-11-09,S,19495,1124.314,D,168271640,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2021-11-09,S,24523,1125.088,D,168247117,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2021-11-09,S,29721,1126.405,D,168217396,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2021-11-09,S,27010,1127.154,D,168190386,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2021-11-09,S,23825,1128.056,D,168166561,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2021-11-09,S,5796,1129.404,D,168160765,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2021-11-09,S,100,1129.88,D,168160665,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2021-11-09,S,8121,1130.384,D,168152544,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2021-11-09,S,13876,1131.448,D,168138668,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2021-11-09,S,2513,1132.877,D,168136155,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2021-11-09,S,12237,1135.445,D,168123918,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2021-11-09,S,16600,1136.375,D,168107318,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2021-11-09,S,16175,1138.125,D,168091143,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2021-11-09,S,13824,1140.518,D,168077319,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2021-11-09,S,24891,1141.021,D,168052428,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2021-11-09,S,2342,1142.162,D,168050086,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2021-11-09,S,1199,1143.46,D,168048887,I,by Trust
nonDerivative,"Tesla, Inc.",Common Stock,2021-11-09,S,7120,1145.333,D,168041767,I,by Trust
