Date,Shares bought,Price,,,,
1/31/2022,"620,083",$36.828,,,,
2/1/2022,"542,496",$37.549,,,,
2/2/2022,"850,373",$36.748,,,,
2/3/2022,"3,649,957",$34.391,,,,
2/4/2022,"1,070,429",$36.184,,,,
2/7/2022,"4,839,507",$36.515,,,,
2/8/2022,"730,000",$35.733,,,,
2/9/2022,"638,283",$36.886,,,,
2/10/2022,"2,604,907",$36.642,,,,
2/11/2022,"1,291,432",$36.523,,,,
2/14/2022,"958,849",$35.92,,,,
2/15/2022,"371,075",$36.511,,,,
2/16/2022,"655,000",$35.814,,,,
2/17/2022,"731,581",$35.891,,,,
2/18/2022,"1,331,040",$34.506,,,,
2/22/2022,"1,256,751",$33.231,,,,
2/23/2022,"1,063,170",$32.806,,,,
2/24/2022,"838,793",$33.765,,,,
2/25/2022,"695,849",$34.784,,,,
2/28/2022,"1,025,518",$35.320,,,,
3/1/2022,"897,656",$35.326,,,,
3/2/2022,"992,785",$34.575,,,,
3/3/2022,"1,211,426",$33.971,,,,
3/4/2022,"1,016,259",$33.376,,,,
3/7/2022,"1,779,530",$33.067,,,,
3/8/2022,"2,228,858",$33.769,,,,
3/9/2022,"1,005,125",$34.154,,,,
3/10/2022,"1,228,833",$33.932,,,,
3/11/2022,"2,927,000",$33.238,,,,
3/14/2022,"2,770,284",$33.082,,,,
3/15/2022,"1,966,000",$33.791,,,,
3/16/2022,"2,978,376",$34.992,,,,
3/17/2022,"1,500,000",$37.089,,,,
3/18/2022,"2,858,340",$38.252,,,,
3/21/2022,"1,942,482",$37.280,,,,
3/22/2022,"2,476,000",$38.542,,,,
3/23/2022,"2,502,140",$38.149,,,,
3/24/2022,"1,926,764",$38.675,,,,
3/25/2022,"3,491,274",$38.202,,,,
3/28/2022,"2,603,779",$38.772,,,,
3/29/2022,"2,875,934",$40.301,,,,
3/31/2022,"2,000,000",$38.818,,,,
4/1/2022,"2,171,100",$39.341,,,,
